amfi_code,scheme_name,mean_daily_return,volatility,sharpe_ratio
148567,Mirae Asset Large Cap Fund - Regular - Growth,0.001073675403449081,0.008941194822595982,0.09123376815938027
120843,Kotak Flexicap Fund - Regular - Growth,0.001081754914045031,0.01000786081516778,0.08231713263437423
148569,Mirae Asset Tax Saver Fund - Regular - Growth,0.0011240540293206527,0.011133577708427348,0.07779327939917764
119551,SBI Bluechip Fund - Regular Plan - Growth,0.0009167982325947294,0.00865628985637757,0.07611363939861618
120505,ICICI Pru Midcap Fund - Regular - Growth,0.0011613203372383767,0.012152155877011201,0.07433938787856087
149323,DSP Midcap Fund - Regular - Growth,0.0010551910655344048,0.011179029641055082,0.07131697322547322
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.0010798038431409668,0.011929006552266409,0.06889654487182012
118632,Nippon India Large Cap Fund - Regular - Growth,0.0008652259973214283,0.008912624198545502,0.06813812361616539
101206,ABSL Frontline Equity Fund - Regular - Growth,0.0008517723174694551,0.009177111485957212,0.06470835735641144
120504,ICICI Pru Bluechip Fund - Direct - Growth,0.0008430464116382315,0.009048331253878,0.0646649517225569
119094,Axis Midcap Fund - Regular - Growth,0.0010266978562569042,0.012225334849231497,0.06288264148189951
119552,SBI Bluechip Fund - Direct Plan - Growth,0.0007852425930349881,0.008780976223037766,0.06005096377724381
149324,DSP Small Cap Fund - Regular - Growth,0.0011941715475284602,0.01564785832374583,0.05983151305576453
119598,SBI Small Cap Fund - Regular Plan - Growth,0.0012010157369980656,0.01583707591818766,0.05954882289719302
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.0008250722735460028,0.009719447430866657,0.05835061814403218
102885,UTI Nifty 50 Index Fund - Regular - Growth,0.0006741587522893979,0.008086315812687745,0.051472420072911446
120503,ICICI Pru Bluechip Fund - Regular - Growth,0.000697595408431375,0.008746373512793112,0.05026756516306883
125497,HDFC Top 100 Fund - Direct Plan - Growth,0.0007095223731125696,0.009240517486188763,0.0488701921565561
118635,Nippon India ETF Nifty 50 BeES,0.000600473969875538,0.008178621336543391,0.04188205418051545
120506,ICICI Pru Value Discovery Fund - Regular - Growth,0.0006501094769466271,0.009594323495169223,0.0408755207396936
118633,Nippon India Large Cap Fund - Direct - Growth,0.0006163137445172902,0.008817415800853679,0.04064424823269479
102887,UTI Flexi Cap Fund - Regular - Growth,0.000645340694310669,0.009926838079358374,0.03902593990927684
120507,ICICI Pru Liquid Fund - Regular - Growth,0.0002676525413793258,0.0003111357089670824,0.031227638495990796
120841,Kotak Bluechip Fund - Regular - Growth,0.0005220152587214266,0.008481394140912233,0.03113624321632046
149322,DSP Top 100 Equity Fund - Regular - Growth,0.0005222511308194414,0.009042081769919406,0.029231611658527314
118634,Nippon India Small Cap Fund - Regular - Growth,0.0007071093821003067,0.015900663604058236,0.02824868730945034
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.00047686346287115325,0.011560944277330922,0.018936771052856332
101207,ABSL Small Cap Fund - Regular - Growth,0.0004244528681492361,0.016250785494711695,0.010246665323772542
119093,Axis Bluechip Fund - Direct - Growth,0.00032985864437101356,0.008808648249969932,0.008164945902426187
120842,Kotak Emerging Equity Fund - Regular - Growth,0.0003119045881482731,0.011272610878515414,0.00478754041928507
119092,Axis Bluechip Fund - Regular - Growth,0.0002749789297660477,0.008788090603213448,0.0019392633279529448
119599,SBI Small Cap Fund - Direct Plan - Growth,0.00020131692580289563,0.015717101489290827,-0.0036024188157206503
119095,Axis Small Cap Fund - Regular - Growth,0.00018236517391230026,0.015790461312930562,-0.004785885131951371
120844,Kotak Liquid Fund - Regular - Growth,0.0002561287499929851,0.0003233593463542916,-0.005590554174185492
100016,HDFC Top 100 Fund - Regular Plan - Growth,0.00014159930699210853,0.009164463506291045,-0.01269438204042588
102886,UTI Mid Cap Fund - Regular - Growth,0.0001098147223397074,0.011423709289098149,-0.012966172531907464
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,0.00022226830595075775,0.0024990143961777056,-0.01427290776728036
118636,Nippon India Gilt Securities Fund - Regular - Growth,0.00020153331311365723,0.002510653047599153,-0.02246554731120139
100025,HDFC Short Term Debt Fund - Regular - Growth,0.00017005379350090052,0.0024600734466666972,-0.03572361408749201
101208,ABSL Liquid Fund - Regular - Growth,0.00024154628565905978,0.00031902540821652614,-0.0513759150691971
