amfi_code,scheme_name,alpha,beta
149324,DSP Small Cap Fund - Regular - Growth,0.23100352221837533,8.470800185762732e-06
148569,Mirae Asset Tax Saver Fund - Regular - Growth,0.23086004324649073,-2.1656877854961717e-05
119598,SBI Small Cap Fund - Regular Plan - Growth,0.2301437716504885,1.2913569161170515e-05
148567,Mirae Asset Large Cap Fund - Regular - Growth,0.21389925128026493,-1.4324631583039166e-05
120505,ICICI Pru Midcap Fund - Regular - Growth,0.2132504733504625,2.4757676750530896e-05
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.2001384119901537,1.19852368095744e-05
120843,Kotak Flexicap Fund - Regular - Growth,0.19569391632791772,2.0470576025226028e-05
149323,DSP Midcap Fund - Regular - Growth,0.19520447275832697,9.80470028282651e-06
119094,Axis Midcap Fund - Regular - Growth,0.18986321099690362,6.6433865814595096e-06
119551,SBI Bluechip Fund - Regular Plan - Growth,0.15714334093281876,1.5281716990304816e-05
118632,Nippon India Large Cap Fund - Regular - Growth,0.15223791940245612,1.3735473143332956e-06
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.1479150757058037,-8.589678643891722e-06
101206,ABSL Frontline Equity Fund - Regular - Growth,0.1434645739634653,1.0627032523163577e-05
120504,ICICI Pru Bluechip Fund - Direct - Growth,0.13793557607076617,1.6351469881022268e-05
119552,SBI Bluechip Fund - Direct Plan - Growth,0.12684144136315662,1.0382317156683725e-05
118634,Nippon India Small Cap Fund - Regular - Growth,0.11355026916410776,-6.166188152947608e-07
120503,ICICI Pru Bluechip Fund - Regular - Growth,0.10979252659842455,1.7216209032625439e-06
125497,HDFC Top 100 Fund - Direct Plan - Growth,0.10452571942949887,1.594199883625913e-05
120506,ICICI Pru Value Discovery Fund - Regular - Growth,0.10365978871788549,-8.306621887534885e-06
118633,Nippon India Large Cap Fund - Direct - Growth,0.0945049035877749,-7.2092709492735875e-06
102885,UTI Nifty 50 Index Fund - Regular - Growth,0.08829858747364452,2.8517447224854624e-05
118635,Nippon India ETF Nifty 50 BeES,0.08745241719048415,-1.9476033084582558e-06
102887,UTI Flexi Cap Fund - Regular - Growth,0.08310326413533733,2.4964541553620494e-05
149322,DSP Top 100 Equity Fund - Regular - Growth,0.07534104289599955,-1.5013454919186106e-05
120841,Kotak Bluechip Fund - Regular - Growth,0.0592101490257223,1.2613604771213124e-05
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.04566844858862715,1.633260265517202e-05
101207,ABSL Small Cap Fund - Regular - Growth,0.04486112629697906,-4.983428560767387e-06
119093,Axis Bluechip Fund - Direct - Growth,0.01110646291904456,1.2063897153168888e-05
120842,Kotak Emerging Equity Fund - Regular - Growth,0.009679681278650848,6.739008738076047e-06
119092,Axis Bluechip Fund - Regular - Growth,0.007806493860705879,-6.036840596409494e-06
119095,Axis Small Cap Fund - Regular - Growth,0.0029730731648823228,-3.7847623024654286e-05
120507,ICICI Pru Liquid Fund - Regular - Growth,0.00218960438290354,4.4494286648776814e-07
120844,Kotak Liquid Fund - Regular - Growth,-0.0005953927243762952,2.40383047175318e-07
101208,ABSL Liquid Fund - Regular - Growth,-0.003771270388533962,-6.172389506592562e-07
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,-0.008303341424015176,-1.1776029814946254e-06
119599,SBI Small Cap Fund - Direct Plan - Growth,-0.01354143131737013,-1.249213514712221e-06
118636,Nippon India Gilt Securities Fund - Regular - Growth,-0.015326235343459185,1.912627325651111e-06
100025,HDFC Short Term Debt Fund - Regular - Growth,-0.02018190437108419,-3.3770718127144e-06
100016,HDFC Top 100 Fund - Regular Plan - Growth,-0.027339261945702888,-3.3997164323093836e-06
102886,UTI Mid Cap Fund - Regular - Growth,-0.03307868442866188,-7.302382343552434e-06
